brand_slug,brand_name,model_slug,model_name,model_url,model_source
isuzu,Isuzu,hi-lander,Hi Lander,https://www.carwale.com/isuzu-cars/hi-lander/,carwale
isuzu,Isuzu,mu-x,Mu X,https://www.carwale.com/isuzu-cars/mu-x/,carwale
isuzu,Isuzu,trooper,Trooper,https://www.carwale.com/isuzu-cars/trooper/,carwale
jsw,JSW,jetour-t2,Jetour T2,https://www.carwale.com/jsw-cars/jetour-t2/,carwale
jsw,JSW,jaecoo-j5,Jaecoo J5,https://www.carwale.com/jsw-cars/jaecoo-j5/,carwale
jaguar,Jaguar,f-pace,F Pace,https://www.carwale.com/jaguar-cars/f-pace/,carwale
jaguar,Jaguar,type-00,Type 00,https://www.carwale.com/jaguar-cars/type-00/,carwale
jaguar,Jaguar,i-pace,I Pace,https://www.carwale.com/jaguar-cars/i-pace/,carwale
jaguar,Jaguar,e-pace,E Pace,https://www.carwale.com/jaguar-cars/e-pace/,carwale
jaguar,Jaguar,xj50,Xj50,https://www.carwale.com/jaguar-cars/xj50/,carwale
jaguar,Jaguar,xf,Xf,https://www.carwale.com/jaguar-cars/xf/,carwale
jaguar,Jaguar,f-type,F Type,https://www.carwale.com/jaguar-cars/f-type/,carwale
jaguar,Jaguar,xe,Xe,https://www.carwale.com/jaguar-cars/xe/,carwale
jaguar,Jaguar,xj-l,Xj L,https://www.carwale.com/jaguar-cars/xj-l/,carwale
jaguar,Jaguar,xk,Xk,https://www.carwale.com/jaguar-cars/xk/,carwale
jeep,Jeep,compass,Compass,https://www.carwale.com/jeep-cars/compass/,carwale
jeep,Jeep,meridian,Meridian,https://www.carwale.com/jeep-cars/meridian/,carwale
jeep,Jeep,wrangler,Wrangler,https://www.carwale.com/jeep-cars/wrangler/,carwale
jeep,Jeep,grand-cherokee,Grand Cherokee,https://www.carwale.com/jeep-cars/grand-cherokee/,carwale
jeep,Jeep,avenger,Avenger,https://www.carwale.com/jeep-cars/avenger/,carwale
jeep,Jeep,willys,Willys,https://www.carwale.com/jeep-cars/willys/,carwale
jeep,Jeep,kaiser,Kaiser,https://www.carwale.com/jeep-cars/kaiser/,carwale
jeep,Jeep,renegade,Renegade,https://www.carwale.com/jeep-cars/renegade/,carwale
kia,Kia,seltos,Seltos,https://www.carwale.com/kia-cars/seltos/,carwale
kia,Kia,sonet,Sonet,https://www.carwale.com/kia-cars/sonet/,carwale
kia,Kia,carens,Carens,https://www.carwale.com/kia-cars/carens/,carwale
kia,Kia,carens-clavis,Carens Clavis,https://www.carwale.com/kia-cars/carens-clavis/,carwale
kia,Kia,syros,Syros,https://www.carwale.com/kia-cars/syros/,carwale
kia,Kia,carens-clavis-ev,Carens Clavis Ev,https://www.carwale.com/kia-cars/carens-clavis-ev/,carwale
kia,Kia,carnival,Carnival,https://www.carwale.com/kia-cars/carnival/,carwale
kia,Kia,ev6,Ev6,https://www.carwale.com/kia-cars/ev6/,carwale
kia,Kia,ev9,Ev9,https://www.carwale.com/kia-cars/ev9/,carwale
