brand_slug,brand_name,model_slug,model_name,variant_slug,variant_name,variant_url
bmw,BMW,ix1-lwb,Ix1 Lwb,edrive20l-m-sport,Edrive20L M Sport,https://www.carwale.com/bmw-cars/ix1-lwb/edrive20l-m-sport/
bmw,BMW,ix1-lwb,Ix1 Lwb,range,Range,https://www.carwale.com/bmw-cars/ix1-lwb/range/
bmw,BMW,m5,M5,competition,Competition,https://www.carwale.com/bmw-cars/m5/competition/
bmw,BMW,i4,I4,edrive35-m-sport,Edrive35 M Sport,https://www.carwale.com/bmw-cars/i4/edrive35-m-sport/
bmw,BMW,i4,I4,edrive40-m-sport,Edrive40 M Sport,https://www.carwale.com/bmw-cars/i4/edrive40-m-sport/
bmw,BMW,i4,I4,range,Range,https://www.carwale.com/bmw-cars/i4/range/
bmw,BMW,z4,Z4,m-40i,M 40I,https://www.carwale.com/bmw-cars/z4/m-40i/
bmw,BMW,z4,Z4,m-40i-pure-impulse-mt,M 40I Pure Impulse Mt,https://www.carwale.com/bmw-cars/z4/m-40i-pure-impulse-mt/
bmw,BMW,ix1,Ix1,xdrive30-m-sport,Xdrive30 M Sport,https://www.carwale.com/bmw-cars/ix1/xdrive30-m-sport/
bmw,BMW,ix1,Ix1,range,Range,https://www.carwale.com/bmw-cars/ix1/range/
bmw,BMW,x7,X7,signature-edition,Signature Edition,https://www.carwale.com/bmw-cars/x7/signature-edition/
bmw,BMW,x7,X7,xdrive40i-m-sport,Xdrive40I M Sport,https://www.carwale.com/bmw-cars/x7/xdrive40i-m-sport/
bmw,BMW,x7,X7,xdrive40d-dpe-7-seater,Xdrive40D Dpe 7 Seater,https://www.carwale.com/bmw-cars/x7/xdrive40d-dpe-7-seater/
bmw,BMW,x7,X7,xdrive40d-m-sport,Xdrive40D M Sport,https://www.carwale.com/bmw-cars/x7/xdrive40d-m-sport/
bmw,BMW,x7,X7,xdrive40d-m-sport-pro,Xdrive40D M Sport Pro,https://www.carwale.com/bmw-cars/x7/xdrive40d-m-sport-pro/
bmw,BMW,5-series,5 Series,530li-petrol-20l-turbo-automatic,530Li Petrol 20L Turbo Automatic,https://www.carwale.com/bmw-cars/5-series/530li-petrol-20l-turbo-automatic/
bmw,BMW,5-series,5 Series,530li-petrol-20l-turbo-automatic-aluminium-satinated,530Li Petrol 20L Turbo Automatic Aluminium Satinated,https://www.carwale.com/bmw-cars/5-series/530li-petrol-20l-turbo-automatic-aluminium-satinated/
bmw,BMW,m8,M8,coupe,Coupe,https://www.carwale.com/bmw-cars/m8/coupe/
bmw,BMW,xm,Xm,plug-in-hybrid,Plug In Hybrid,https://www.carwale.com/bmw-cars/xm/plug-in-hybrid/
bmw,BMW,i7,I7,edrive50-m-sport,Edrive50 M Sport,https://www.carwale.com/bmw-cars/i7/edrive50-m-sport/
bmw,BMW,i7,I7,xdrive60-m-sport,Xdrive60 M Sport,https://www.carwale.com/bmw-cars/i7/xdrive60-m-sport/
bmw,BMW,i7,I7,m70-xdrive,M70 Xdrive,https://www.carwale.com/bmw-cars/i7/m70-xdrive/
bmw,BMW,i7,I7,range,Range,https://www.carwale.com/bmw-cars/i7/range/
bmw,BMW,x4,X4,xdrive,Xdrive,https://www.carwale.com/bmw-cars/x4/xdrive/
bmw,BMW,ix,Ix,xdrive-40,Xdrive 40,https://www.carwale.com/bmw-cars/ix/xdrive-40/
bmw,BMW,ix,Ix,xdrive-50,Xdrive 50,https://www.carwale.com/bmw-cars/ix/xdrive-50/
bmw,BMW,ix,Ix,range,Range,https://www.carwale.com/bmw-cars/ix/range/
bmw,BMW,i5,I5,m60-xdrive,M60 Xdrive,https://www.carwale.com/bmw-cars/i5/m60-xdrive/
bmw,BMW,i5,I5,range,Range,https://www.carwale.com/bmw-cars/i5/range/
bmw,BMW,x6-facelift,X6 Facelift,m60i-petrol-turbo-automatic,M60I Petrol Turbo Automatic,https://www.carwale.com/bmw-cars/x6-facelift/m60i-petrol-turbo-automatic/
bmw,BMW,2-series-gran-coupe-2020-2025,2 Series Gran Coupe 2020 2025,220i-sport,220I Sport,https://www.carwale.com/bmw-cars/2-series-gran-coupe-2020-2025/220i-sport/
bmw,BMW,2-series-gran-coupe-2020-2025,2 Series Gran Coupe 2020 2025,220d-sportline,220D Sportline,https://www.carwale.com/bmw-cars/2-series-gran-coupe-2020-2025/220d-sportline/
bmw,BMW,2-series-gran-coupe-2020-2025,2 Series Gran Coupe 2020 2025,220d-m-sport-2020-2021,220D M Sport 2020 2021,https://www.carwale.com/bmw-cars/2-series-gran-coupe-2020-2025/220d-m-sport-2020-2021/
bmw,BMW,2-series-gran-coupe-2020-2025,2 Series Gran Coupe 2020 2025,black-shadow-edition,Black Shadow Edition,https://www.carwale.com/bmw-cars/2-series-gran-coupe-2020-2025/black-shadow-edition/
bmw,BMW,2-series-gran-coupe-2020-2025,2 Series Gran Coupe 2020 2025,220i-m-sport-2021-2023,220I M Sport 2021 2023,https://www.carwale.com/bmw-cars/2-series-gran-coupe-2020-2025/220i-m-sport-2021-2023/
bmw,BMW,2-series-gran-coupe-2020-2025,2 Series Gran Coupe 2020 2025,220i-black-shadow-edition,220I Black Shadow Edition,https://www.carwale.com/bmw-cars/2-series-gran-coupe-2020-2025/220i-black-shadow-edition/
bmw,BMW,2-series-gran-coupe-2020-2025,2 Series Gran Coupe 2020 2025,220i-m-sport,220I M Sport,https://www.carwale.com/bmw-cars/2-series-gran-coupe-2020-2025/220i-m-sport/
bmw,BMW,2-series-gran-coupe-2020-2025,2 Series Gran Coupe 2020 2025,220d-m-sport-2022-2023,220D M Sport 2022 2023,https://www.carwale.com/bmw-cars/2-series-gran-coupe-2020-2025/220d-m-sport-2022-2023/
bmw,BMW,2-series-gran-coupe-2020-2025,2 Series Gran Coupe 2020 2025,m-performance-edition,M Performance Edition,https://www.carwale.com/bmw-cars/2-series-gran-coupe-2020-2025/m-performance-edition/
bmw,BMW,2-series-gran-coupe-2020-2025,2 Series Gran Coupe 2020 2025,220i-m-sport-pro,220I M Sport Pro,https://www.carwale.com/bmw-cars/2-series-gran-coupe-2020-2025/220i-m-sport-pro/
bmw,BMW,2-series-gran-coupe-2020-2025,2 Series Gran Coupe 2020 2025,220i-m-sport-shadow-edition,220I M Sport Shadow Edition,https://www.carwale.com/bmw-cars/2-series-gran-coupe-2020-2025/220i-m-sport-shadow-edition/
bmw,BMW,2-series-gran-coupe-2020-2025,2 Series Gran Coupe 2020 2025,220d-m-sport,220D M Sport,https://www.carwale.com/bmw-cars/2-series-gran-coupe-2020-2025/220d-m-sport/
