brand_name,model_name,variant_name,variant_slug,variant_url,price,fuel_type,transmission,engine,mileage,power,torque,seating_capacity,airbags,body_type,source_url,scraped_at
Lotus,Emira,Turbo,turbo,https://www.carwale.com/lotus-cars/emira/turbo/,Rs. 3.05 Crore,Petrol,Automatic,1998 cc,,360 bhp,430 Nm,2,,SUV,https://www.carwale.com/lotus-cars/emira/turbo/,2026-06-19 10:52:44
MG,Windsor Ev,Inspire Limited 38.0 kWh,inspire-limited-38-0-kwh,https://www.carwale.com/mg-cars/windsor-ev/inspire-limited/,Rs. 17.56 Lakh,Electric,Automatic,38 kWh Battery,,134 bhp,200 Nm,5,6,MUV,https://www.carwale.com/mg-cars/windsor-ev/inspire-limited/,2026-06-19 10:52:44
MG,Hector,Savvy Pro Petrol Turbo Automatic,savvy-pro-petrol-turbo-automatic,https://www.carwale.com/mg-cars/hector/savvy-pro-petrol-turbo-automatic/,Rs. 22.68 Lakh,Petrol,Automatic,1451 cc,,141 bhp,250 Nm,5,6,SUV,https://www.carwale.com/mg-cars/hector/savvy-pro-petrol-turbo-automatic/,2026-06-19 10:52:45
MG,Hector,Select Pro Petrol Turbo Manual,select-pro-petrol-turbo-manual,https://www.carwale.com/mg-cars/hector/select-pro-petrol-turbo-manual/,Rs. 16.94 Lakh,Petrol,Manual,1451 cc,,141 bhp,250 Nm,5,6,SUV,https://www.carwale.com/mg-cars/hector/select-pro-petrol-turbo-manual/,2026-06-19 10:52:46
MG,Hector,Sharp Pro Petrol Turbo Automatic,sharp-pro-petrol-turbo-automatic,https://www.carwale.com/mg-cars/hector/sharp-pro-petrol-turbo-automatic/,Rs. 20.11 Lakh,Petrol,Manual,1451 cc,,141 bhp,250 Nm,5,6,SUV,https://www.carwale.com/mg-cars/hector/sharp-pro-petrol-turbo-automatic/,2026-06-19 10:52:47
MG,Hector,Sharp Pro Petrol Turbo Manual,sharp-pro-petrol-turbo-manual,https://www.carwale.com/mg-cars/hector/sharp-pro-petrol-turbo-manual/,Rs. 20.11 Lakh,Petrol,Manual,1451 cc,,141 bhp,250 Nm,5,6,SUV,https://www.carwale.com/mg-cars/hector/sharp-pro-petrol-turbo-manual/,2026-06-19 10:52:47
MG,Hector,Smart Pro Petrol Turbo Automatic,smart-pro-petrol-turbo-automatic,https://www.carwale.com/mg-cars/hector/smart-pro-petrol-turbo-automatic/,Rs. 18.12 Lakh,Petrol,Manual,1451 cc,,141 bhp,250 Nm,5,6,SUV,https://www.carwale.com/mg-cars/hector/smart-pro-petrol-turbo-automatic/,2026-06-19 10:52:48
MG,Hector,Smart Pro Petrol Turbo Manual,smart-pro-petrol-turbo-manual,https://www.carwale.com/mg-cars/hector/smart-pro-petrol-turbo-manual/,Rs. 18.12 Lakh,Petrol,Manual,1451 cc,,141 bhp,250 Nm,5,6,SUV,https://www.carwale.com/mg-cars/hector/smart-pro-petrol-turbo-manual/,2026-06-19 10:52:49
MG,Hector,Style Petrol Turbo Manual,style-petrol-turbo-manual,https://www.carwale.com/mg-cars/hector/style-petrol-turbo-manual/,Rs. 14.25 Lakh,Petrol,Manual,1451 cc,,141 bhp,250 Nm,5,6,SUV,https://www.carwale.com/mg-cars/hector/style-petrol-turbo-manual/,2026-06-19 10:52:50
MG,M9,Presidential Limo 90.0 kWh,presidential-limo-90-0-kwh,https://www.carwale.com/mg-cars/m9/presidential-limo/,Rs. 80.50 Lakh,Electric,Automatic,90 kWh Battery,,242 bhp,350 Nm,7,7,MUV,https://www.carwale.com/mg-cars/m9/presidential-limo/,2026-06-19 10:52:50
MG,Comet Ev,Exclusive FC [2024-2025],exclusive-fc-2024-2025,https://www.carwale.com/mg-cars/comet-ev/exclusive-fc-2024-2025/,Rs. 10.28 Lakh,Electric,Automatic,17.3 kWh Battery,,41 bhp,110 Nm,4,2,Hatchback,https://www.carwale.com/mg-cars/comet-ev/exclusive-fc-2024-2025/,2026-06-19 10:52:51
MG,Zs Ev,Excite,excite,https://www.carwale.com/mg-cars/zs-ev/excite/,Rs. 15.50 Lakh,Electric,Automatic,50.3 kWh Battery,,173 bhp,280Nm,5,6,SUV,https://www.carwale.com/mg-cars/zs-ev/excite/,2026-06-19 10:52:52
MG,Hector Plus,Savvy Pro Petrol Turbo Automatic 7 STR,savvy-pro-petrol-turbo-automatic-7-str,https://www.carwale.com/mg-cars/hector-plus/savvy-pro-petrol-turbo-automatic-7-str/,Rs. 23.28 Lakh,Petrol,Automatic,1451 cc,,141.04bhp,250Nm,7,6,SUV,https://www.carwale.com/mg-cars/hector-plus/savvy-pro-petrol-turbo-automatic-7-str/,2026-06-19 10:52:53
MG,Hector Plus,Sharp Pro Petrol Turbo Automatic 7 STR,sharp-pro-petrol-turbo-automatic-7-str,https://www.carwale.com/mg-cars/hector-plus/sharp-pro-petrol-turbo-automatic-7-str/,Rs. 20.70 Lakh,Petrol,Manual,1451 cc,,141.04bhp,250Nm,7,6,SUV,https://www.carwale.com/mg-cars/hector-plus/sharp-pro-petrol-turbo-automatic-7-str/,2026-06-19 10:52:53
MG,Hector Plus,Sharp Pro Petrol Turbo Manual 7 STR,sharp-pro-petrol-turbo-manual-7-str,https://www.carwale.com/mg-cars/hector-plus/sharp-pro-petrol-turbo-manual-7-str/,Rs. 20.70 Lakh,Petrol,Manual,1451 cc,,141.04bhp,250Nm,7,6,SUV,https://www.carwale.com/mg-cars/hector-plus/sharp-pro-petrol-turbo-manual-7-str/,2026-06-19 10:52:54
MG,Gloster,Blackstorm 2WD Diesel Turbo Automatic 6 STR,blackstorm-2wd-diesel-turbo-automatic-6-str,https://www.carwale.com/mg-cars/gloster/blackstorm-2wd-diesel-turbo-automatic-6-str/,Rs. 49.08 Lakh,Diesel,Automatic,1996 cc,,159 bhp,373.5 Nm,7,6,SUV,https://www.carwale.com/mg-cars/gloster/blackstorm-2wd-diesel-turbo-automatic-6-str/,2026-06-19 10:52:55
MG,Gloster,Blackstorm 2WD Diesel Turbo Automatic 7 STR,blackstorm-2wd-diesel-turbo-automatic-7-str,https://www.carwale.com/mg-cars/gloster/blackstorm-2wd-diesel-turbo-automatic-7-str/,Rs. 49.08 Lakh,Diesel,Automatic,1996 cc,,159 bhp,373.5 Nm,7,6,SUV,https://www.carwale.com/mg-cars/gloster/blackstorm-2wd-diesel-turbo-automatic-7-str/,2026-06-19 10:52:56
